Price,Title,Rating,Brand,Manufacturer,Series,Colour,Form Factor,Item Height,Item Width,Standing screen display size,Screen Resolution,Product Dimensions,Batteries,Item model number,Processor Brand,Processor Type,Processor Speed,Processor Count,RAM Size,Memory Technology,Maximum Memory Supported,Memory Clock Speed,Hard Drive Size,Hard Disk Description,Audio Details,Graphics Coprocessor,Graphics Chipset Brand,Graphics Card Description,Graphics RAM Type,Graphics Card Ram Size,Graphics Card Interface,Connectivity Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Wattage,Optical Drive Type,Power Source,Operating System,Average Battery Standby Life (in hours),Are Batteries Included,Lithium Battery Energy Content,Number of Lithium Ion Cells,Included Components,Country of Origin,Item Weight,ASIN,Customer Reviews,Best Sellers Rank,Date First Available,Packer,Importer,Item Dimensions LxWxH,Net Quantity,Generic Name
34990.0,"Dell 14 Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/Thin & Light 1.48kg",3.8,Dell,Dell,Vostro 3420,Dark Silver,laptop,19 Millimeters,32.3 Centimeters,14 Inches,1920*1080,22 x 32.3 x 1.9 cm; 1.48 kg,1 Lithium Ion batteries required. (included),Vostro 14,Intel,Core i3 Family,0.9 GHz,1,8 GB,DDR4,16 GB,2666 MHz,512 GB,SSD,Headphones,INTEGRATED,Intel,Integrated,Shared,2 GB,Integrated,"Bluetooth, Wi-Fi",1,2,65 Watts,CD-R,Battery Powered,Windows 11 Home,10 Hours,Yes,2.6 Watt Hours,3,"Laptop, Battery, AC Adapter, User Guide, Manuals",China,1 kg 480 g,B0BQJ9HZPP,"3.8  3.8 out of 5 stars    
    548 ratings   


 3.8 out of 5 stars",#547 in Computers & Accessories (See Top 100 in Computers & Accessories)  #5 in Traditional Laptops,19 December 2022,Dell India Pvt Ltd,Dell India Pvt Ltd,22 x 32.3 x 1.9 Centimeters,1 Count,Laptop
35888.0,"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU",4.0,HP,HP,HP 15s,Natural Silver,Netbook,18 Millimeters,24.2 Centimeters,39.6 Centimetres,1920 x 1080 pixel,1920 x 1080 Pixels,35.9 x 24.2 x 1.8 cm; 1.69 kg,1 Lithium Ion batteries required. (included),15s-fq5007TU/FQ5327TU,Intel,Core i3,4.4 GHz,1,8 GB,DDR4,16 GB,512 GB,SSD,"Headphones, Speakers",Dual speakers,Intel UHD Graphics,Intel,Integrated,VRAM,Integrated,"Bluetooth, Wi-Fi",2,1,Battery Powered,Windows 11 Home,7 Hours,10 Hours,Yes,41 Watt Hours,3,"Laptop, Power Adapter, User Manual",China,1 kg 690 g,B0BP2M7CCS,"4.0  4.0 out of 5 stars    
    819 ratings   


 4.0 out of 5 stars",#247 in Computers & Accessories (See Top 100 in Computers & Accessories)  #1 in Traditional Laptops,5 December 2022,HP India Sales Pvt. Ltd.,HP India Sales Pvt. Ltd.,35.9 x 24.2 x 1.8 Centimeters,1 Count,Laptop
72990.0,"ASUS TUF Gaming F15, 15.6""(39.62 cms) FHD 144Hz, Intel Core i7-11800H 11th Gen, 4GB NVIDIA GeForce RTX 3050 Ti, Gaming Laptop (16GB/512GB SSD/Windows 11/90WHrs Battery/Black/2.30 Kg), FX506HE-HN382W",4.4,ASUS,ASUS,TUF Gaming F15,Graphite Black,Gaming Laptop,42.9 Centimeters,10.2 Centimeters,39.62 Centimetres,1920 x 1080 pixels,1920 x 1080 Pixels,42.9 x 10.2 x 42.9 cm; 2.3 kg,1 Lithium Polymer batteries required. (included),FX506HE-HN382W,Intel,Core i7,4.6 GHz,8,16 GB,DDR4,SODIMM,32 GB,3200 MHz,512 GB,SSD,"Headphones, Speakers","2-speaker system, Dolby Atmos, Hi-Res certification",NVIDIA GeForce RTX 3050 Ti,NVIDIA,Dedicated,GDDR6,4 GB,PCI Express,"Bluetooth, Wi-Fi","Bluetooth, 802.11ax",4,20 Volts (DC),180 Watt Hours,No Optical Drive,Battery Powered,PC,Windows 11 Home,Yes,4,"Laptop, Adaptor, User Manual",China,2 kg 300 g,B0CCYGC3TS,"4.4  4.4 out of 5 stars    
    282 ratings   


 4.4 out of 5 stars","#2,325 in Computers & Accessories (See Top 100 in Computers & Accessories)  #55 in Traditional Laptops",26 July 2023,"TECH FRONT ( CHONGQING) Computer Co. Ltd, NO 18 , Zongbao Road, Shapingba Dist,Chongquing, China","ASUS INDIA PRIVATE LIMITED, 402, Supreme chambers, 17/18, Shah Industrial Estate, Veer Desai Road, Andheri (west), Mumbai 400053, India",42.9 x 10.2 x 42.9 Centimeters,1 Count,Gaming Laptop
